#Ensembl Gene ID	Tumor Type
ENSG00000087460	Adrenocortical
ENSG00000108946	Adrenocortical
ENSG00000120500	Adrenocortical
ENSG00000133703	Adrenocortical
ENSG00000133895	Adrenocortical
ENSG00000134086	Adrenocortical
ENSG00000134982	Adrenocortical
ENSG00000139687	Adrenocortical
ENSG00000141510	Adrenocortical
ENSG00000146648	Adrenocortical
ENSG00000147889	Adrenocortical
ENSG00000157764	Adrenocortical
ENSG00000165731	Adrenocortical
ENSG00000168036	Adrenocortical
ENSG00000174775	Adrenocortical
ENSG00000213281	Adrenocortical
ENSG00000087460	AutonomicGanglia
ENSG00000109132	AutonomicGanglia
ENSG00000121879	AutonomicGanglia
ENSG00000133703	AutonomicGanglia
ENSG00000141510	AutonomicGanglia
ENSG00000147889	AutonomicGanglia
ENSG00000157764	AutonomicGanglia
ENSG00000171094	AutonomicGanglia
ENSG00000171862	AutonomicGanglia
ENSG00000179295	AutonomicGanglia
ENSG00000196712	AutonomicGanglia
ENSG00000213281	AutonomicGanglia
ENSG00000039068	BiliaryTract
ENSG00000065559	BiliaryTract
ENSG00000109670	BiliaryTract
ENSG00000118046	BiliaryTract
ENSG00000121879	BiliaryTract
ENSG00000128602	BiliaryTract
ENSG00000133703	BiliaryTract
ENSG00000134982	BiliaryTract
ENSG00000139687	BiliaryTract
ENSG00000141510	BiliaryTract
ENSG00000141646	BiliaryTract
ENSG00000147889	BiliaryTract
ENSG00000157764	BiliaryTract
ENSG00000168036	BiliaryTract
ENSG00000171862	BiliaryTract
ENSG00000213281	BiliaryTract
ENSG00000012048	Bladder
ENSG00000036672	Bladder
ENSG00000039068	Bladder
ENSG00000047410	Bladder
ENSG00000047648	Bladder
ENSG00000055609	Bladder
ENSG00000059915	Bladder
ENSG00000065559	Bladder
ENSG00000068078	Bladder
ENSG00000072315	Bladder
ENSG00000083312	Bladder
ENSG00000087111	Bladder
ENSG00000101040	Bladder
ENSG00000102755	Bladder
ENSG00000106546	Bladder
ENSG00000107789	Bladder
ENSG00000111087	Bladder
ENSG00000112701	Bladder
ENSG00000116062	Bladder
ENSG00000116106	Bladder
ENSG00000116138	Bladder
ENSG00000117139	Bladder
ENSG00000117322	Bladder
ENSG00000118058	Bladder
ENSG00000119402	Bladder
ENSG00000121879	Bladder
ENSG00000122966	Bladder
ENSG00000127804	Bladder
ENSG00000130024	Bladder
ENSG00000133703	Bladder
ENSG00000134294	Bladder
ENSG00000134982	Bladder
ENSG00000135298	Bladder
ENSG00000136449	Bladder
ENSG00000139626	Bladder
ENSG00000139687	Bladder
ENSG00000141510	Bladder
ENSG00000141564	Bladder
ENSG00000141646	Bladder
ENSG00000145241	Bladder
ENSG00000146648	Bladder
ENSG00000147050	Bladder
ENSG00000147889	Bladder
ENSG00000155657	Bladder
ENSG00000156103	Bladder
ENSG00000164796	Bladder
ENSG00000165194	Bladder
ENSG00000165699	Bladder
ENSG00000165731	Bladder
ENSG00000166866	Bladder
ENSG00000168036	Bladder
ENSG00000170776	Bladder
ENSG00000171862	Bladder
ENSG00000173157	Bladder
ENSG00000173517	Bladder
ENSG00000174738	Bladder
ENSG00000174775	Bladder
ENSG00000176601	Bladder
ENSG00000180900	Bladder
ENSG00000186575	Bladder
ENSG00000186716	Bladder
ENSG00000188906	Bladder
ENSG00000213281	Bladder
ENSG00000099956	Bone
ENSG00000109670	Bone
ENSG00000121879	Bone
ENSG00000133703	Bone
ENSG00000134853	Bone
ENSG00000134982	Bone
ENSG00000139687	Bone
ENSG00000141510	Bone
ENSG00000146648	Bone
ENSG00000147889	Bone
ENSG00000157404	Bone
ENSG00000168036	Bone
ENSG00000171862	Bone
ENSG00000174775	Bone
ENSG00000185920	Bone
CELSR3	Brain
ENSG00000000005	Brain
ENSG00000001626	Brain
ENSG00000002016	Brain
ENSG00000002330	Brain
ENSG00000003509	Brain
ENSG00000004864	Brain
ENSG00000004866	Brain
ENSG00000004939	Brain
ENSG00000005001	Brain
ENSG00000005436	Brain
ENSG00000005513	Brain
ENSG00000005700	Brain
ENSG00000005882	Brain
ENSG00000005981	Brain
ENSG00000006007	Brain
ENSG00000006432	Brain
ENSG00000006468	Brain
ENSG00000006652	Brain
ENSG00000006740	Brain
ENSG00000007047	Brain
ENSG00000007174	Brain
ENSG00000007392	Brain
ENSG00000007541	Brain
ENSG00000008226	Brain
ENSG00000008710	Brain
ENSG00000010322	Brain
ENSG00000010327	Brain
ENSG00000010671	Brain
ENSG00000010810	Brain
ENSG00000010818	Brain
ENSG00000011028	Brain
ENSG00000012171	Brain
ENSG00000012223	Brain
ENSG00000013293	Brain
ENSG00000013297	Brain
ENSG00000013364	Brain
ENSG00000013503	Brain
ENSG00000013523	Brain
ENSG00000013810	Brain
ENSG00000014824	Brain
ENSG00000015520	Brain
ENSG00000017427	Brain
ENSG00000017797	Brain
ENSG00000018280	Brain
ENSG00000018510	Brain
ENSG00000018625	Brain
ENSG00000018699	Brain
ENSG00000019102	Brain
ENSG00000019169	Brain
ENSG00000021762	Brain
ENSG00000021826	Brain
ENSG00000021852	Brain
ENSG00000022976	Brain
ENSG00000023516	Brain
ENSG00000025039	Brain
ENSG00000027001	Brain
ENSG00000027644	Brain
ENSG00000028137	Brain
ENSG00000030066	Brain
ENSG00000031698	Brain
ENSG00000033122	Brain
ENSG00000033867	Brain
ENSG00000034677	Brain
ENSG00000035403	Brain
ENSG00000035862	Brain
ENSG00000037280	Brain
ENSG00000038295	Brain
ENSG00000038358	Brain
ENSG00000038382	Brain
ENSG00000038427	Brain
ENSG00000038532	Brain
ENSG00000039139	Brain
ENSG00000039523	Brain
ENSG00000039537	Brain
ENSG00000039600	Brain
ENSG00000040199	Brain
ENSG00000041515	Brain
ENSG00000041982	Brain
ENSG00000042286	Brain
ENSG00000042781	Brain
ENSG00000044446	Brain
ENSG00000047188	Brain
ENSG00000047410	Brain
ENSG00000047617	Brain
ENSG00000047662	Brain
ENSG00000047932	Brain
ENSG00000047936	Brain
ENSG00000048052	Brain
ENSG00000048162	Brain
ENSG00000048649	Brain
ENSG00000049323	Brain
ENSG00000049541	Brain
ENSG00000050030	Brain
ENSG00000050426	Brain
ENSG00000050748	Brain
ENSG00000050767	Brain
ENSG00000050820	Brain
