#AFFY	Barcode
1007_s_at	0
1053_at	0
117_at	0
121_at	0
1255_g_at	0
1294_at	0
1316_at	0
1320_at	0
1405_i_at	0
1431_at	0
1438_at	0
1487_at	0
1494_f_at	0
1552256_a_at	0
1552257_a_at	0
1552258_at	0
1552261_at	0
1552263_at	0
1552264_a_at	0
1552266_at	0
1552269_at	0
1552271_at	0
1552272_a_at	0
1552274_at	0
1552275_s_at	0
1552276_a_at	0
1552277_a_at	0
1552278_a_at	0
1552279_a_at	0
1552280_at	0
1552281_at	0
1552283_s_at	0
1552286_at	0
1552287_s_at	0
1552288_at	0
1552289_a_at	0
1552291_at	1
1552293_at	0
1552295_a_at	0
1552296_at	1
1552299_at	1
1552301_a_at	0
1552302_at	0
1552303_a_at	0
1552304_at	0
1552306_at	0
1552307_a_at	1
1552309_a_at	0
1552310_at	0
1552311_a_at	0
1552312_a_at	0
1552314_a_at	1
1552315_at	0
1552316_a_at	0
1552318_at	0
1552319_a_at	0
1552320_a_at	0
1552321_a_at	0
1552322_at	0
1552323_s_at	0
1552325_at	0
1552326_a_at	0
1552327_at	0
1552329_at	0
1552330_at	0
1552332_at	0
1552334_at	0
1552335_at	0
1552337_s_at	0
1552338_at	0
1552340_at	0
1552343_s_at	1
1552344_s_at	0
1552347_at	0
1552348_at	0
1552349_a_at	0
1552354_at	0
1552355_s_at	0
1552359_at	0
1552360_a_at	0
1552362_a_at	0
1552364_s_at	1
1552365_at	1
1552367_a_at	1
1552368_at	0
1552370_at	0
1552372_at	0
1552373_s_at	0
1552375_at	0
1552377_s_at	0
1552378_s_at	0
1552379_at	0
1552381_at	1
1552383_at	0
1552384_a_at	0
1552386_at	0
1552388_at	0
1552389_at	0
1552390_a_at	0
1552391_at	0
1552393_at	0
1552394_a_at	0
1552395_at	0
1552396_at	0
1552398_a_at	0
1552399_a_at	0
1552400_a_at	0
1552401_a_at	0
1552402_at	0
1552405_at	0
1552408_at	0
1552409_a_at	0
1552410_at	0
1552411_at	0
1552412_a_at	0
1552414_at	0
1552415_a_at	0
1552417_a_at	0
1552418_at	0
1552419_s_at	0
1552421_a_at	0
1552422_at	0
1552423_at	0
1552424_at	0
1552425_a_at	0
1552426_a_at	1
1552427_at	0
1552430_at	1
1552432_at	0
1552436_a_at	0
1552438_a_at	0
1552439_s_at	0
1552440_at	0
1552445_a_at	0
1552448_a_at	0
1552449_a_at	0
1552450_a_at	0
1552452_at	0
1552453_a_at	0
1552455_at	1
1552456_a_at	0
1552457_a_at	0
1552458_at	0
1552459_a_at	0
1552461_at	0
1552463_at	0
1552466_x_at	0
1552467_at	0
1552468_a_at	0
1552470_a_at	0
1552472_a_at	1
1552473_at	0
1552474_a_at	0
1552476_s_at	0
1552477_a_at	0
1552478_a_at	0
1552480_s_at	0
1552481_s_at	1
1552482_at	0
1552484_at	0
1552485_at	0
1552486_s_at	0
1552487_a_at	0
1552489_s_at	0
1552490_at	0
1552491_at	0
1552493_s_at	0
1552494_at	0
1552496_a_at	0
1552497_a_at	0
1552498_at	0
1552499_a_at	0
1552501_a_at	0
1552502_s_at	0
1552503_at	0
1552504_a_at	0
1552506_at	0
1552507_at	0
1552508_at	0
1552509_a_at	0
1552510_at	0
1552511_a_at	0
1552514_at	0
1552515_at	0
1552516_a_at	0
1552518_s_at	0
1552519_at	0
1552520_at	0
1552521_a_at	0
1552522_at	0
1552523_a_at	0
1552524_at	0
1552526_at	0
1552528_at	0
1552531_a_at	1
1552532_a_at	1
1552535_at	0
1552536_at	0
1552538_a_at	0
1552540_s_at	1
1552541_at	0
1552542_s_at	0
1552543_a_at	0
1552544_at	0
1552546_a_at	0
1552548_at	0
1552549_a_at	0
1552552_s_at	0
1552553_a_at	0
1552554_a_at	0
1552555_at	0
1552557_a_at	0
1552558_a_at	0
1552559_a_at	0
1552562_at	0
1552563_a_at	0
1552564_at	0
1552566_at	0
1552568_at	0
1552569_a_at	0
1552570_at	0
1552572_a_at	0
1552573_s_at	0
1552575_a_at	0
1552576_at	0
1552578_a_at	0
1552579_a_at	0
1552580_at	0
1552582_at	0
1552583_s_at	0
1552584_at	0
1552585_s_at	0
1552586_at	0
1552587_at	0
1552588_a_at	0
1552590_a_at	0
1552592_at	0
1552594_at	0
1552596_at	0
1552598_at	0
1552599_at	0
1552602_at	0
1552604_at	0
1552605_s_at	0
1552607_at	0
1552608_at	0
1552609_s_at	0
1552610_a_at	0
1552611_a_at	0
1552612_at	0
1552613_s_at	0
