#Ensembl Gene ID	Name	Chromosome	Start	End	JH015_type	JH015_probability	JH015_expression	JH015_top5_loss	JH015_top5_gain	421_type	421_probability	421_expression	421_top5_loss	421_top5_gain	JH024_type	JH024_probability	JH024_expression	JH024_top5_loss	JH024_top5_gain	374_type	374_probability	374_expression	374_top5_loss	374_top5_gain	159_type	159_probability	159_expression	159_top5_loss	159_top5_gain	281_type	281_probability	281_expression	281_top5_loss	281_top5_gain	410_type	410_probability	410_expression	410_top5_loss	410_top5_gain	420_type	420_probability	420_expression	420_top5_loss	420_top5_gain	247_type	247_probability	247_expression	247_top5_loss	247_top5_gain	JH011_type	JH011_probability	JH011_expression	JH011_top5_loss	JH011_top5_gain	JH034_type	JH034_probability	JH034_expression	JH034_top5_loss	JH034_top5_gain	JH027_type	JH027_probability	JH027_expression	JH027_top5_loss	JH027_top5_gain	JH033_type	JH033_probability	JH033_expression	JH033_top5_loss	JH033_top5_gain	163_type	163_probability	163_expression	163_top5_loss	163_top5_gain	219_type	219_probability	219_expression	219_top5_loss	219_top5_gain	294_type	294_probability	294_expression	294_top5_loss	294_top5_gain	253_type	253_probability	253_expression	253_top5_loss	253_top5_gain	265_type	265_probability	265_expression	265_top5_loss	265_top5_gain	354_type	354_probability	354_expression	354_top5_loss	354_top5_gain	A6L_type	A6L_probability	A6L_expression	A6L_top5_loss	A6L_top5_gain	291_type	291_probability	291_expression	291_top5_loss	291_top5_gain	286_type	286_probability	286_expression	286_top5_loss	286_top5_gain	266_type	266_probability	266_expression	266_top5_loss	266_top5_gain	215_type	215_probability	215_expression	215_top5_loss	215_top5_gain	185_type	185_probability	185_expression	185_top5_loss	185_top5_gain	287_type	287_probability	287_expression	287_top5_loss	287_top5_gain	140_type	140_probability	140_expression	140_top5_loss	140_top5_gain	194_type	194_probability	194_expression	194_top5_loss	194_top5_gain	198_type	198_probability	198_expression	198_top5_loss	198_top5_gain	JH010_type	JH010_probability	JH010_expression	JH010_top5_loss	JH010_top5_gain
ENSG00000140798	ABCC12	16	46674385	46738182	Gain	0.9487240	0.0173620	0	0	Normal	0.000286	-0.038850	0	0	Gain	0.849282	0.026730	0	0	Normal	0.001512	-0.001050	0	0	Normal	0.002485	-0.004290	0	0	Gain	0.979494	0.053557	0	0	Loss	-0.992213	0.037605	0	0	Gain	0.932744	0.126002	0	0	Gain	0.886720	0.110724	0	0	Gain	0.917026	0.054288	0	0	Normal	0.474135	0.049657	0	0	Normal	0.376754	0.033783	0	0	Gain	0.892020	0.147632	0	0	Gain	0.988204	0.068945	0	0	Gain	0.969616	0.025015	0	0	Gain	0.522461	0.123063	0	0	Gain	0.998756	0.076698	0	0	Loss	-0.701918	0.054033	0	0	Gain	0.948610	0.060312	0	0	Gain	0.971313	0.051558	0	0	Gain	0.861479	0.060762	0	0	Normal	0.000517	0.001408	0	0	Loss	-0.575439	-0.008673	0	0	Gain	0.964042	0.067014	0	0	Gain	0.997079	0.067962	0	0	Gain	0.996951	0.031196	0	0	Normal	0.008845	0.057696	0	0	Gain	0.967841	0.010445	0	0	Gain	0.988633	0.022203	0	0	Gain	0.990232	0.075244	0	0
ENSG00000143994	ABHD1	2	27200161	27207182	Gain	0.9233890	-0.0274600	0	0	Gain	0.995011	-0.068787	0	0	Gain	0.997268	-0.089820	0	0	Gain	0.990556	0.001719	0	0	Normal	-0.001115	-0.053410	0	0	Loss	-0.992067	-0.009938	0	0	Gain	0.968819	-0.047148	0	0	Gain	0.984200	0.071240	0	0	Gain	0.995745	0.062678	0	0	Loss	-0.999984	-0.081115	0	0	Gain	0.898694	-0.057201	0	0	Loss	-0.857478	-0.084049	0	0	Gain	0.835197	-0.036218	0	0	Gain	0.993340	-0.031109	0	0	Gain	0.979881	-0.039637	0	0	Gain	0.998796	-0.057554	0	0	Gain	0.974537	0.032190	0	0	Gain	0.986783	0.014591	0	0	Gain	0.966008	0.042850	0	0	Loss	-0.942556	-0.048030	0	0	Gain	0.979171	-0.070021	0	0	Normal	0.321809	-0.081621	0	0	Loss	-0.923446	-0.088820	0	0	Gain	0.998816	0.035388	0	0	Gain	0.997188	0.047083	0	0	Normal	0.001189	-0.108517	0	0	Gain	0.998254	-0.045845	0	0	Gain	0.969874	-0.098580	0	0	Gain	0.986552	-0.015213	0	0	Gain	0.994619	0.054233	0	0
ENSG00000167315	ACAA2	18	45563873	45593900	Loss	-0.9997280	0.0074840	0	0	Loss	-0.999923	0.005861	0	0	Loss	-0.999904	-0.074270	1	0	Loss	-0.996082	-0.003553	0	0	Loss	-0.764696	0.109028	0	0	Loss	-0.992595	0.163311	0	0	Gain	0.684193	0.152589	0	1	Gain	0.553409	0.128381	0	1	Normal	-0.032375	0.098887	0	0	Loss	-0.999705	-0.070185	1	0	Loss	-0.999781	-0.188359	1	0	Loss	-0.999967	-0.058423	0	0	Loss	-0.999741	-0.205589	1	0	Loss	-0.884593	0.069645	0	0	Gain	0.775791	-0.089992	0	0	Loss	-0.999826	0.019286	0	0	Loss	-0.980852	0.162110	0	0	Loss	-0.856234	0.031556	0	0	Normal	0.331002	0.133258	0	0	Loss	-0.602397	-0.030464	1	0	Loss	-0.999489	0.016359	0	0	Normal	-0.000573	0.162903	0	0	Loss	-1.000000	-0.279329	1	0	Loss	-0.966667	0.099706	0	0	Loss	-0.981505	-0.133137	1	0	Loss	-0.978246	-0.061176	1	0	Normal	0.377695	0.068242	0	0	Loss	-0.999429	-0.106638	1	0	Loss	-0.998548	-0.024000	0	0	Loss	-0.974445	0.043009	0	0
ENSG00000136518	ACTL6A	3	180763402	180788882	Gain	0.9782010	0.0182040	0	0	Normal	-0.078555	-0.046156	0	0	Gain	0.522544	-0.065178	0	0	Gain	0.723480	0.031288	0	0	Normal	-0.098366	-0.092349	0	0	Normal	-0.052009	-0.055689	0	0	Loss	-0.994192	-0.106506	0	0	Loss	-0.589982	-0.112019	0	0	Gain	0.956305	0.008182	0	0	Gain	0.748481	-0.048702	0	0	Normal	-0.039964	-0.128816	0	0	Gain	0.952682	-0.066275	0	0	Gain	0.995946	0.012101	0	0	Loss	-0.999655	-0.063832	0	0	Gain	0.684982	0.006024	0	0	Loss	-0.973634	-0.197109	0	0	Gain	0.989815	-0.040034	0	0	Gain	0.899985	-0.017377	0	0	Normal	-0.051223	-0.119168	0	0	Gain	0.744255	0.012518	0	0	Gain	0.889991	-0.072971	0	0	Normal	0.021760	0.037346	0	0	Normal	0.402349	-0.015654	0	0	Gain	0.751102	-0.086096	0	0	Normal	0.200512	-0.155394	0	0	Gain	0.987755	0.014031	0	0	Normal	0.018807	-0.114214	0	0	Gain	0.979546	0.001590	0	0	Gain	0.885987	0.010569	0	0	Loss	-0.980552	-0.067458	0	0
ENSG00000196839	ADA	20	42681578	42713795	Gain	0.9606610	-0.0446110	0	0	Gain	0.994903	-0.036189	0	0	Gain	0.946210	-0.051879	0	0	Gain	0.989346	-0.093948	0	0	Normal	0.000158	-0.230476	0	0	Gain	0.997042	0.168480	0	0	Gain	0.973889	-0.079126	0	0	Gain	0.957445	0.042957	0	0	Gain	0.994653	0.115442	0	0	Gain	0.941772	-0.333161	0	0	Gain	0.947977	-0.196700	0	0	Normal	0.000168	-0.280107	0	0	Gain	0.929300	-0.107841	0	0	Gain	0.995485	0.110284	0	0	Gain	0.992363	-0.196546	0	0	Gain	0.998062	-0.137139	0	0	Gain	0.997923	-0.120774	0	0	Gain	0.991462	0.114617	0	0	Gain	0.992556	-0.182716	0	0	Normal	0.000734	-0.271220	0	0	Gain	0.990878	-0.317956	0	0	Gain	0.924264	-0.171491	0	0	Gain	0.991712	-0.160925	0	0	Gain	0.997999	-0.150625	0	0	Gain	0.997249	0.054440	0	0	Gain	0.997176	-0.210597	0	0	Gain	0.981383	-0.152230	0	0	Gain	0.991652	-0.297780	0	0	Gain	0.994024	0.085950	0	0	Gain	0.997225	0.218363	0	0
ENSG00000138316	ADAMTS14	10	72102565	72192203	Gain	0.6921470	-0.0043760	0	0	Normal	-0.000387	0.016311	0	0	Normal	-0.001617	0.048478	0	0	Gain	0.793704	0.086792	0	0	Normal	-0.000394	0.004956	0	0	Normal	-0.000355	0.032810	0	0	Normal	-0.481931	0.040773	0	0	Gain	0.822020	0.092388	0	0	Gain	0.648934	0.094849	0	0	Gain	0.540733	0.020299	0	0	Gain	0.660490	0.239683	0	0	Normal	-0.017509	-0.012658	0	0	Gain	0.636104	0.159740	0	0	Gain	0.887336	0.076053	0	0	Normal	0.354999	0.060006	0	0	Gain	0.685217	0.122521	0	0	Loss	-0.904629	0.034242	0	0	Gain	0.899116	0.071182	0	0	Gain	0.801096	0.118120	0	0	Gain	0.871860	0.009444	0	0	Gain	0.867061	0.035825	0	0	Normal	0.329632	0.049193	0	0	Gain	0.924009	-0.020078	0	0	Gain	0.817731	0.044826	0	0	Gain	0.709121	0.136932	0	0	Loss	-0.951056	-0.022996	0	0	Normal	-0.030207	0.040100	0	0	Gain	0.848629	0.058645	0	0	Gain	0.917986	0.051739	0	0	Gain	0.761249	0.091469	0	0
ENSG00000139154	AEBP2	12	19483900	19566440	Gain	0.9728970	-0.0734360	0	0	Gain	0.963728	-0.105989	0	0	Gain	0.915197	-0.089351	0	0	Normal	0.000744	-0.064028	0	0	Loss	-0.913031	-0.152581	0	0	Gain	0.909834	-0.119656	0	0	Gain	0.869344	-0.104317	0	0	Loss	-0.933853	-0.172432	0	0	Loss	-0.999874	-0.176723	0	0	Loss	-0.999997	-0.264210	0	0	Normal	0.000581	-0.125815	0	0	Gain	0.949348	-0.063409	0	0	Normal	-0.099608	-0.180037	0	0	Loss	-0.830201	-0.123145	0	0	Gain	0.947680	0.002786	0	0	Loss	-0.999407	-0.157495	0	0	Normal	-0.008636	-0.079657	0	0	Loss	-0.999990	-0.087623	0	0	Loss	-0.977421	-0.059683	0	0	Loss	-0.999997	-0.123260	0	0	Loss	-0.996963	-0.133386	0	0	Loss	-0.997848	-0.098685	0	0	Normal	-0.002498	-0.046786	0	0	Loss	-0.881781	-0.105282	0	0	Gain	0.654551	-0.040231	0	0	Loss	-0.999525	-0.123604	0	0	Loss	-0.999994	-0.137359	0	0	Loss	-0.995794	-0.104443	0	0	Gain	0.922307	-0.049095	0	0	Loss	-0.998844	-0.114533	0	0
ENSG00000112297	AIM1	6	107066423	107125028	Loss	-0.9999920	-0.1342460	0	0	Normal	-0.014006	-0.107652	0	0	Loss	-0.999910	-0.270419	0	0	Loss	-0.999382	-0.160536	0	0	Loss	-1.000000	-0.132592	0	0	Gain	0.956290	-0.005732	0	0	Gain	0.752501	-0.041329	0	0	Normal	-0.000239	-0.144201	0	0	Gain	0.956036	-0.134341	0	0	Loss	-0.999982	-0.288804	0	0	Loss	-0.999997	-0.459249	0	0	Loss	-0.910148	-0.086151	0	0	Loss	-0.999998	-0.178926	0	0	Loss	-0.932825	-0.223598	0	0	Normal	-0.000488	-0.094629	0	0	Normal	-0.259068	-0.148948	0	0	Loss	-0.999136	-0.253797	0	0	Gain	0.604005	-0.188679	0	0	Normal	-0.000350	-0.205779	0	0	Normal	0.157561	-0.146359	0	0	Normal	-0.000710	-0.080379	0	0	Normal	-0.110944	-0.150767	0	0	Loss	-0.997613	-0.197686	0	0	Loss	-0.998765	-0.276440	0	0	Loss	-0.999704	-0.022505	0	0	Loss	-0.999799	-0.208822	0	0	Loss	-0.999975	-0.187528	0	0	Loss	-1.000000	-0.183498	0	0	Loss	-0.999996	-0.149187	0	0	Normal	-0.001018	-0.119972	0	0
ENSG00000147853	AK3	9	4701158	4732043	Gain	0.7676350	0.0279070	0	0	Normal	-0.398248	0.007735	0	0	Loss	-0.999965	-0.095987	0	0	Loss	-0.997125	0.015542	0	0	Loss	-0.882624	0.007359	0	0	Loss	-0.992701	0.020042	0	0	Loss	-0.907212	-0.010482	0	0	Normal	-0.000505	0.002689	0	0	Loss	-0.994627	-0.046248	0	0	Loss	-0.999843	-0.093545	0	0	Normal	-0.000374	0.013963	0	0	Loss	-0.891668	-0.034142	0	0	Loss	-0.999969	-0.281537	0	0	Loss	-0.999912	-0.057838	0	0	Normal	0.025542	0.128108	0	0	Normal	-0.498809	-0.098082	0	0	Loss	-0.992187	0.146466	1	0	Loss	-0.999999	-0.122899	0	0	Loss	-0.999937	-0.192883	0	0	Loss	-0.990326	-0.013308	0	0	Loss	-0.999989	-0.020688	0	0	Normal	-0.003481	0.010286	0	0	Gain	0.602094	0.125621	0	0	Gain	0.906297	0.036624	0	0	Loss	-0.995836	-0.228770	0	0	Loss	-0.998445	-0.011672	0	0	Loss	-0.999336	-0.071420	0	0	Loss	-0.999979	-0.043289	0	0	Loss	-0.997782	-0.002248	0	0	Loss	-0.997479	-0.120058	0	0
ENSG00000072210	ALDH3A2	17	19492641	19521501	Loss	-0.9999450	-0.2561970	0	0	Loss	-0.999996	-0.255742	0	0	Normal	0.054585	-0.187772	0	0	Gain	0.958714	-0.223406	0	0	Normal	-0.002182	-0.194148	0	0	Loss	-0.988039	-0.263709	0	0	Loss	-0.999903	-0.315429	0	0	Gain	0.801248	-0.113574	0	0	Gain	0.982321	-0.137250	0	0	Loss	-0.999985	-0.287490	0	0	Gain	0.817947	-0.171772	0	0	Loss	-0.653383	-0.196102	0	0	Normal	0.138918	-0.236085	0	0	Loss	-0.999617	-0.269079	0	0	Gain	0.959495	-0.236111	0	0	Loss	-0.999997	-0.337062	0	0	Loss	-0.995419	-0.153044	0	0	Loss	-0.959429	-0.260276	0	0	Gain	0.849041	-0.257756	0	0	Loss	-0.971963	-0.210019	0	0	Loss	-0.999748	-0.256047	0	0	Normal	-0.000404	-0.171803	0	0	Loss	-0.999964	-0.324314	0	0	Loss	-0.989950	-0.179905	0	0	Loss	-0.997837	-0.358397	0	0	Loss	-0.990903	-0.256161	0	0	Loss	-0.999347	-0.227269	0	0	Loss	-0.998037	-0.326135	0	0	Loss	-0.999819	-0.236669	0	0	Loss	-0.998092	-0.328358	0	0
